"","caseid","region","gender","educ","edloan","race","hispanic","employ","marstat","pid7","ideo5","pew_religimp","newsint","faminc_new","union","investor","CC18_308a","CC18_310a","CC18_310b","CC18_310c","CC18_310d","CC18_325a","CC18_325b","CC18_325c","CC18_325d"
"1",417614315,3,1,2,2,1,2,5,3,6,3,1,2,1,3,2,2,2,3,3,5,1,2,1,1
"2",415490556,1,2,6,2,1,1,1,1,2,2,3,3,12,3,2,4,3,2,5,5,2,2,2,1
"3",414351505,3,2,3,2,2,2,1,4,2,3,1,3,4,3,1,4,2,2,2,2,1,2,1,2
"4",411855339,1,2,5,2,6,2,5,3,3,1,2,1,6,2,1,4,3,3,3,3,2,1,2,1
"5",417056957,2,1,2,NA,4,2,8,5,1,1,4,2,4,3,2,4,2,1,1,1,2,2,2,1
"6",420208067,2,1,3,2,1,2,1,1,4,5,4,1,10,1,2,4,2,2,3,2,1,2,1,1
"7",412517331,1,1,2,2,1,2,5,5,5,4,3,2,6,3,1,1,3,3,2,2,1,1,1,1
"8",412873566,2,2,3,2,1,2,7,1,7,5,1,3,2,3,2,1,2,2,3,5,1,1,1,1
"9",412948037,1,1,5,1,1,2,1,1,1,1,4,1,11,2,1,4,3,3,3,5,2,2,2,1
"10",413463295,3,1,5,NA,1,2,1,5,1,1,3,1,2,2,2,4,2,2,2,2,2,2,2,1
"11",415732156,3,1,6,2,1,2,1,5,6,5,4,4,16,3,2,1,2,3,2,5,2,1,1,2
"12",416479672,3,2,2,2,1,2,5,4,5,3,1,1,4,3,2,4,2,3,2,5,2,1,2,1
"13",412984205,1,2,3,2,1,2,7,1,3,3,2,1,11,3,1,4,3,3,3,3,2,1,2,2
"14",413002690,3,1,6,2,1,2,1,1,6,5,1,1,11,3,1,1,2,2,2,2,1,1,1,1
"15",414239724,4,1,3,2,3,2,4,5,1,1,3,2,1,3,2,4,1,1,1,3,2,1,2,2
"16",412311163,3,2,3,1,2,2,1,2,1,3,2,3,3,2,1,4,3,5,2,5,2,2,2,1
"17",414204021,2,2,6,1,1,2,9,1,2,1,2,1,11,3,1,4,5,3,2,3,2,1,2,2
"18",412931880,4,1,3,2,1,2,1,5,2,1,4,1,9,3,1,4,3,3,3,3,2,1,1,1
"19",412881399,2,2,4,2,1,2,4,5,3,1,4,3,2,3,2,4,2,5,3,2,2,1,2,1
"20",412985437,3,2,4,2,1,2,6,3,7,3,1,1,3,2,2,1,2,3,2,2,2,2,1,1
"21",411855595,1,1,6,2,1,2,1,1,4,3,4,1,10,3,1,4,3,3,3,3,1,1,2,1
"22",413877573,1,1,5,2,1,2,3,5,3,1,4,1,8,3,2,4,2,3,3,3,2,1,2,1
"23",414018801,4,1,6,2,1,2,1,1,6,3,3,1,12,3,2,2,2,2,2,3,1,1,1,1
"24",413425778,4,2,3,2,1,2,1,5,5,4,3,2,6,3,2,2,3,3,3,3,1,1,2,2
